state_abv,county,family,housing_yearly,food_yearly,transportation_yearly,healthcare_yearly,misc_yearly,childcare_yearly,taxes_yearly,total_yearly,median_family_income,num_counties_in_st,st_cost_rank,st_med_aff_rank,st_income_rank
AL,Autauga County,1p0c,"$9,804","$4,020","$13,320","$6,120","$4,896",$0,"$7,488","$45,636"," 83,790 ",67.0,8.0,58.0,7.0
AL,Autauga County,1p1c,"$13,368","$5,928","$16,380","$9,072","$6,840","$6,240","$9,132","$66,960"," 83,790 ",67.0,8.0,58.0,7.0
AL,Autauga County,1p2c,"$13,368","$8,676","$18,840","$12,036","$7,812","$12,144","$11,388","$84,252"," 83,790 ",67.0,8.0,58.0,7.0
AL,Autauga County,1p3c,"$16,992","$11,592","$20,040","$14,988","$10,116","$13,956","$14,808","$102,492"," 83,790 ",67.0,8.0,58.0,7.0
AL,Autauga County,1p4c,"$16,992","$14,184","$20,904","$17,940","$11,040","$13,956","$17,688","$112,704"," 83,790 ",67.0,8.0,58.0,7.0
AL,Autauga County,2p0c,"$11,184","$7,380","$15,744","$12,240","$6,576",$0,"$9,408","$62,520"," 83,790 ",67.0,8.0,58.0,7.0
AL,Autauga County,2p1c,"$13,368","$9,180","$18,108","$15,192","$7,980","$6,240","$11,244","$81,336"," 83,790 ",67.0,8.0,58.0,7.0
AL,Autauga County,2p2c,"$13,368","$11,616","$19,248","$18,144","$8,844","$12,144","$12,144","$95,520"," 83,790 ",67.0,8.0,58.0,7.0
AL,Autauga County,2p3c,"$16,992","$14,196","$20,052","$21,108","$11,040","$13,956","$14,376","$111,708"," 83,790 ",67.0,8.0,58.0,7.0
AL,Autauga County,2p4c,"$16,992","$17,376","$20,700","$24,060","$12,168","$13,956","$17,052","$122,292"," 83,790 ",67.0,8.0,58.0,7.0
AL,Baldwin County,1p0c,"$11,088","$4,548","$13,368","$5,760","$5,532",$0,"$7,992","$48,300"," 89,953 ",67.0,4.0,62.0,4.0
AL,Baldwin County,1p1c,"$14,472","$6,708","$17,268","$8,544","$7,500","$6,840","$9,984","$71,304"," 89,953 ",67.0,4.0,62.0,4.0
AL,Baldwin County,1p2c,"$14,472","$9,816","$19,008","$11,316","$8,592","$13,512","$12,732","$89,448"," 89,953 ",67.0,4.0,62.0,4.0
AL,Baldwin County,1p3c,"$18,408","$13,104","$20,184","$14,100","$11,160","$15,564","$16,716","$109,224"," 89,953 ",67.0,4.0,62.0,4.0
AL,Baldwin County,1p4c,"$18,408","$16,044","$21,024","$16,872","$12,192","$15,564","$19,680","$119,784"," 89,953 ",67.0,4.0,62.0,4.0
AL,Baldwin County,2p0c,"$11,136","$8,340","$16,620","$11,520","$6,900",$0,"$9,744","$64,248"," 89,953 ",67.0,4.0,62.0,4.0
AL,Baldwin County,2p1c,"$14,472","$10,380","$18,276","$14,292","$8,796","$6,840","$11,976","$85,032"," 89,953 ",67.0,4.0,62.0,4.0
AL,Baldwin County,2p2c,"$14,472","$13,140","$19,392","$17,076","$9,780","$13,512","$13,128","$100,488"," 89,953 ",67.0,4.0,62.0,4.0
AL,Baldwin County,2p3c,"$18,408","$16,044","$20,172","$19,860","$12,204","$15,564","$16,044","$118,284"," 89,953 ",67.0,4.0,62.0,4.0
AL,Baldwin County,2p4c,"$18,408","$19,644","$20,796","$22,632","$13,476","$15,564","$18,900","$129,408"," 89,953 ",67.0,4.0,62.0,4.0
AL,Barbour County,1p0c,"$6,696","$3,864","$12,708","$5,640","$3,744",$0,"$6,168","$38,820"," 55,672 ",67.0,63.0,16.0,58.0
AL,Barbour County,1p1c,"$8,880","$5,700","$15,468","$8,364","$5,160","$4,740","$6,780","$55,104"," 55,672 ",67.0,63.0,16.0,58.0
AL,Barbour County,1p2c,"$8,880","$8,340","$17,100","$11,088","$6,096","$9,132","$7,368","$68,016"," 55,672 ",67.0,63.0,16.0,58.0
AL,Barbour County,1p3c,"$11,292","$11,136","$18,312","$13,824","$7,944","$10,488","$9,300","$82,284"," 55,672 ",67.0,63.0,16.0,58.0
AL,Barbour County,1p4c,"$11,292","$13,632","$19,200","$16,548","$8,820","$10,488","$11,868","$91,836"," 55,672 ",67.0,63.0,16.0,58.0
AL,Barbour County,2p0c,"$6,744","$7,092","$14,820","$11,292","$4,896",$0,"$7,404","$52,236"," 55,672 ",67.0,63.0,16.0,58.0
AL,Barbour County,2p1c,"$8,880","$8,820","$16,356","$14,016","$6,264","$4,740","$8,532","$67,620"," 55,672 ",67.0,63.0,16.0,58.0
AL,Barbour County,2p2c,"$8,880","$11,172","$17,472","$16,740","$7,092","$9,132","$8,916","$79,404"," 55,672 ",67.0,63.0,16.0,58.0
AL,Barbour County,2p3c,"$11,292","$13,644","$18,300","$19,464","$8,832","$10,488","$9,876","$91,884"," 55,672 ",67.0,63.0,16.0,58.0
