,state_abv,county,housing_yearly,food_yearly,transportation_yearly,healthcare_yearly,misc_yearly,childcare_yearly,taxes_yearly,median_family_income,pct_diff,pct_diff_binary
0,AK,Aleutians East Borough,15295.2,13826.4,18463.2,20150.4,10312.8,13478.4,13345.2,79922.0,0.9,0
1,AK,Aleutians West Census Area,22203.6,13826.4,11754.0,20150.4,12756.0,15972.0,14937.6,111607.0,1.38,0
2,AK,Anchorage Municipality,18061.2,13278.0,17071.2,17029.2,11096.4,18535.2,14593.2,115272.0,-0.32,1
3,AK,Bethel Census Area,22770.0,14637.6,11872.8,19977.6,13244.4,16077.6,15504.0,67266.0,-0.19,1
4,AK,Bristol Bay Borough,14671.2,13826.4,21236.4,20150.4,10092.0,13077.6,13857.6,104688.0,-2.99,1
5,AK,Chugach Census Area,16383.6,13278.0,11889.6,19977.6,10502.4,12796.8,11380.8,96290.0,-1.88,1
6,AK,Copper River Census Area,14896.8,13480.8,11889.6,19977.6,10046.4,12796.8,10884.0,95208.0,2.49,0
7,AK,Denali Borough,18046.8,12932.4,11889.6,20150.4,10968.0,14596.8,12502.8,131750.0,0.57,0
8,AK,Dillingham Census Area,15631.2,14637.6,13875.6,19977.6,10716.0,13375.2,12385.2,72500.0,-2.48,1
9,AK,Fairbanks North Star Borough,19801.2,12932.4,18373.2,17772.0,11590.8,17143.2,15272.4,100854.0,-0.38,1
10,AK,Haines Borough,16750.8,13422.0,19321.2,17346.0,10683.6,14004.0,13393.2,101875.0,0.0,1
11,AK,Hoonah-Angoon Census Area,15330.0,13568.4,21078.0,17346.0,10232.4,13461.6,13200.0,79063.0,-0.75,1
12,AK,Juneau City and Borough,20032.8,13364.4,18056.4,17346.0,11824.8,16850.4,15241.2,113750.0,-0.58,1
13,AK,Kenai Peninsula Borough,15868.8,14233.2,19862.4,17640.0,10658.4,12796.8,13249.2,101126.0,1.01,0
14,AK,Ketchikan Gateway Borough,17532.0,13048.8,19431.6,17346.0,10827.6,13620.0,13468.8,105493.0,-0.25,1
15,AK,Kodiak Island Borough,20367.6,13826.4,20492.4,20150.4,12106.8,12796.8,15804.0,104276.0,-0.59,1
16,AK,Kusilvak Census Area,11316.0,13826.4,15512.4,20150.4,8901.6,11863.2,10419.6,43882.0,-2.59,1
17,AK,Lake and Peninsula Borough,11527.2,13826.4,13167.6,20150.4,8978.4,11812.8,9868.8,64875.0,-3.34,1
18,AK,Matanuska-Susitna Borough,15583.2,13480.8,19948.8,17772.0,10292.4,14011.2,13288.8,100753.0,1.56,0
19,AK,Nome Census Area,19832.4,13598.4,12070.8,20150.4,11836.8,15036.0,13748.4,70588.0,-0.29,1
20,AK,North Slope Borough,21946.8,12932.4,11181.6,20150.4,12348.0,15868.8,14282.4,92656.0,-1.92,1
21,AK,Northwest Arctic Borough,22254.0,12932.4,11353.2,20150.4,12459.6,15868.8,14505.6,77546.0,-1.23,1
22,AK,Petersburg Borough,15802.8,13480.8,20475.6,17346.0,10370.4,13828.8,13275.6,90037.0,1.69,0
23,AK,Prince of Wales-Hyder Census Area,13240.8,12728.4,22826.4,17346.0,9195.6,12324.0,12176.4,77548.0,0.81,0
24,AK,Sitka City and Borough,17772.0,13480.8,19672.8,17346.0,11066.4,13620.0,13821.6,107896.0,-0.85,1
25,AK,Skagway Municipality,17221.2,13364.4,19902.0,17346.0,10828.8,14258.4,13753.2,110833.0,0.27,0
26,AK,Southeast Fairbanks Census Area,16075.2,12932.4,20364.0,20150.4,10268.4,12804.0,13690.8,82135.0,0.87,0
27,AK,Wrangell City and Borough,13276.8,13626.0,20533.2,17346.0,9525.6,12525.6,12016.8,77500.0,-0.34,1
28,AK,Yakutat City and Borough,15631.2,13364.4,29278.8,20150.4,10264.8,13620.0,16585.2,90750.0,0.29,0
29,AK,Yukon-Koyukuk Census Area,13089.6,12932.4,12891.6,20150.4,9212.4,12324.0,10183.2,59458.0,-0.77,1
30,AL,Autauga County,14242.8,10414.8,18333.6,15090.0,8731.2,9259.2,12472.8,83790.0,1.03,0
31,AL,Baldwin County,15374.4,11776.8,18610.8,14197.2,9613.2,10296.0,13689.6,89953.0,2.83,0
32,AL,Barbour County,9412.8,10009.2,16956.0,13916.4,6876.0,6969.6,8830.8,55672.0,-0.47,1
33,AL,Bibb County,10484.4,9517.2,19725.6,15343.2,7081.2,9518.4,11098.8,70064.0,-0.54,1
34,AL,Blount County,9738.0,9373.2,19569.6,15343.2,6764.4,13447.2,11947.2,73528.0,0.5,0
35,AL,Bullock County,10232.4,11166.0,18349.2,13916.4,7578.0,9871.2,10933.2,43750.0,-2.43,1
36,AL,Butler County,9585.6,9517.2,18444.0,14427.6,6762.0,9926.4,10171.2,59217.0,-1.53,1
37,AL,Calhoun County,10528.8,10472.4,16875.6,14454.0,7435.2,8856.0,10202.4,68959.0,0.56,0
38,AL,Chambers County,11352.0,9488.4,17122.8,13916.4,7378.8,10516.8,10524.0,60000.0,-0.25,1
39,AL,Cherokee County,9636.0,9634.8,17626.8,14427.6,6824.4,6050.4,8830.8,63429.0,1.23,0
40,AL,Chilton County,10098.0,10126.8,18012.0,15343.2,7160.4,9561.6,10713.6,72090.0,1.27,0
41,AL,Choctaw County,9319.2,9720.0,18810.0,13916.4,6740.4,8205.6,9591.6,64349.0,-1.44,1
42,AL,Clarke County,9961.2,9544.8,18188.4,14427.6,6904.8,10224.0,10419.6,64688.0,-1.05,1
43,AL,Clay County,9732.0,9230.4,18010.8,14427.6,6711.6,7639.2,9304.8,60216.0,-0.51,1
44,AL,Cleburne County,9579.6,10560.0,17793.6,13916.4,7131.6,7639.2,9561.6,71833.0,1.74,0
45,AL,Coffee County,10809.6,11194.8,18468.0,13916.4,7791.6,6969.6,10344.0,76211.0,1.46,0
46,AL,Colbert County,10669.2,10964.4,17482.8,14380.8,7658.4,10828.8,11246.4,69400.0,0.63,0
47,AL,Conecuh County,9848.4,9662.4,18676.8,14427.6,6906.0,10224.0,10542.0,55380.0,-0.45,1
48,AL,Coosa County,9552.0,10300.8,18318.0,14427.6,7027.2,7639.2,9734.4,64482.0,-0.38,1
49,AL,Covington County,9628.8,9604.8,17830.8,13916.4,6808.8,9871.2,9913.2,66211.0,0.93,0
50,AL,Crenshaw County,9223.2,11281.2,18753.6,14427.6,7258.8,7008.0,9932.4,69602.0,0.41,0
51,AL,Cullman County,10716.0,10675.2,17557.2,13916.4,7574.4,10903.2,11054.4,72331.0,1.49,0
52,AL,Dale County,10124.4,10183.2,17613.6,14427.6,7190.4,6969.6,9534.0,67776.0,0.76,0
53,AL,Dallas County,9841.2,10098.0,16122.0,13916.4,7057.2,9871.2,9674.4,52453.0,-1.54,1
54,AL,DeKalb County,9790.8,9403.2,17610.0,14427.6,6793.2,6050.4,8810.4,59225.0,0.68,0
55,AL,Elmore County,12182.4,10934.4,18628.8,15090.0,8184.0,9259.2,11923.2,84463.0,0.94,0
56,AL,Escambia County,9492.0,9634.8,17527.2,13916.4,6771.6,10161.6,9858.0,57329.0,-0.21,1
57,AL,Etowah County,9770.4,10502.4,17031.6,14454.0,7177.2,7828.8,9607.2,67242.0,0.33,0
58,AL,Fayette County,9445.2,9373.2,18157.2,14427.6,6662.4,8205.6,9452.4,62336.0,-0.72,1
59,AL,Franklin County,9334.8,8912.4,18174.0,14427.6,6459.6,10903.2,10050.0,61857.0,-0.34,1
60,AL,Geneva County,8515.2,10039.2,18300.0,14706.0,6570.0,7792.8,9368.4,60345.0,0.85,0
61,AL,Greene County,9948.0,11629.2,17912.4,14073.6,7640.4,9832.8,10922.4,53019.0,-1.49,1
62,AL,Hale County,8796.0,11629.2,19602.0,14073.6,7232.4,9832.8,10980.0,64661.0,1.98,0
63,AL,Henry County,9624.0,11137.2,19089.6,14706.0,7352.4,7792.8,10504.8,75475.0,1.3,0
64,AL,Houston County,10328.4,11023.2,16759.2,14706.0,7560.0,7545.6,9957.6,72526.0,0.38,0
65,AL,Jackson County,9297.6,9459.6,17202.0,14427.6,6642.0,6050.4,8500.8,59400.0,1.03,0
66,AL,Jefferson County,13893.6,11574.0,16312.8,15343.2,9016.8,13154.4,13540.8,83299.0,-0.33,1
67,AL,Lamar County,9812.4,9373.2,18104.4,14427.6,6793.2,8205.6,9606.0,63495.0,-0.33,1
68,AL,Lauderdale County,9825.6,10502.4,17343.6,14380.8,7197.6,10828.8,10657.2,76544.0,0.98,0
69,AL,Lawrence County,9313.2,9373.2,18978.0,14646.0,6615.6,11186.4,10670.4,71188.0,0.95,0
70,AL,Lee County,12926.4,11776.8,17558.4,15726.0,8745.6,11073.6,13101.6,86772.0,1.39,0
71,AL,Limestone County,11107.2,11458.8,20294.4,15915.6,7988.4,10828.8,12999.6,95707.0,3.41,0
72,AL,Lowndes County,9204.0,11224.8,19292.4,14191.2,7232.4,9561.6,10839.6,50126.0,-0.67,1
73,AL,Macon County,9799.2,11601.6,16800.0,14427.6,7576.8,10516.8,10856.4,52617.0,-0.87,1
74,AL,Madison County,13784.4,10993.2,18102.0,15915.6,8772.0,10828.8,13258.8,101032.0,2.23,0
75,AL,Marengo County,9469.2,10154.4,17643.6,14427.6,6948.0,8157.6,9612.0,67083.0,-0.57,1
76,AL,Marion County,9428.4,9373.2,17804.4,13916.4,6657.6,8205.6,9212.4,63260.0,0.21,0
77,AL,Marshall County,9664.8,9895.2,17454.0,14427.6,6922.8,6019.2,8902.8,71511.0,1.34,0
78,AL,Mobile County,12896.4,10704.0,16219.2,14148.0,8354.4,10296.0,11457.6,70688.0,0.06,0
79,AL,Monroe County,10030.8,9691.2,17826.0,14427.6,6981.6,10224.0,10393.2,59610.0,-0.94,1
80,AL,Montgomery County,12367.2,11079.6,16092.0,15090.0,8300.4,9355.2,11313.6,71258.0,-0.58,1
81,AL,Morgan County,10558.8,10704.0,17410.8,14646.0,7528.8,10828.8,11155.2,79360.0,0.73,0
82,AL,Perry County,10074.0,10240.8,18008.4,13916.4,7192.8,8205.6,9855.6,40462.0,-2.1,1
83,AL,Pickens County,9595.2,10502.4,18141.6,14197.2,7113.6,9832.8,10437.6,59738.0,-0.33,1
84,AL,Pike County,11089.2,11166.0,17230.8,14427.6,7881.6,6969.6,10174.8,68530.0,0.39,0
85,AL,Randolph County,10059.6,9286.8,17835.6,13916.4,6850.8,7639.2,9264.0,62321.0,1.45,0
86,AL,Russell County,11265.6,10213.2,16507.2,15726.0,7604.4,11073.6,11388.0,60960.0,0.26,0
87,AL,Shelby County,16089.6,11833.2,18546.0,15343.2,9884.4,13017.6,15303.6,112123.0,1.29,0
88,AL,St. Clair County,13076.4,10848.0,19339.2,15343.2,8468.4,13447.2,13923.6,83565.0,1.78,0
89,AL,Sumter County,11190.0,10183.2,17228.4,13916.4,7567.2,8205.6,10062.0,46198.0,-1.36,1
90,AL,Talladega County,9870.0,9777.6,16690.8,14427.6,6956.4,7591.2,9198.0,66224.0,0.48,0
91,AL,Tallapoosa County,10264.8,10300.8,17498.4,14427.6,7281.6,10579.2,10743.6,63358.0,-0.58,1
92,AL,Tuscaloosa County,13135.2,11833.2,17277.6,14073.6,8839.2,9518.4,12048.0,83129.0,0.29,0
93,AL,Walker County,9717.6,9837.6,17277.6,15063.6,6924.0,9777.6,10189.2,68810.0,0.45,0
94,AL,Washington County,11046.0,9544.8,19192.8,14197.2,7290.0,10632.0,11180.4,75492.0,-0.48,1
95,AL,Wilcox County,11127.6,9865.2,18045.6,14427.6,7431.6,9926.4,10851.6,46269.0,-1.92,1
96,AL,Winston County,9765.6,9144.0,18039.6,14427.6,6694.8,10903.2,10324.8,61537.0,-0.55,1
97,AR,Arkansas County,9402.0,9634.8,17373.6,13800.0,6739.2,7672.8,8568.0,71861.0,-1.16,1
98,AR,Ashley County,9090.0,9315.6,18576.0,13800.0,6517.2,7672.8,8654.4,60030.0,-0.47,1
