,state_abv,county,pct_diff
1,AL,Autauga County,1.03
2,AL,Baldwin County,2.83
3,AL,Barbour County,-0.47
4,AL,Bibb County,-0.54
5,AL,Blount County,0.50
6,AL,Bullock County,-2.43
7,AL,Butler County,-1.53
8,AL,Calhoun County,0.56
9,AL,Chambers County,-0.25
10,AL,Cherokee County,1.23
11,AL,Chilton County,1.27
12,AL,Choctaw County,-1.44
13,AL,Clarke County,-1.05
14,AL,Clay County,-0.51
15,AL,Cleburne County,1.74
16,AL,Coffee County,1.46
17,AL,Colbert County,0.63
18,AL,Conecuh County,-0.45
19,AL,Coosa County,-0.38
20,AL,Covington County,0.93
21,AL,Crenshaw County,0.41
22,AL,Cullman County,1.49
23,AL,Dale County,0.76
24,AL,Dallas County,-1.54
25,AL,DeKalb County,0.68
26,AL,Elmore County,0.94
27,AL,Escambia County,-0.21
28,AL,Etowah County,0.33
29,AL,Fayette County,-0.72
30,AL,Franklin County,-0.34
31,AL,Geneva County,0.85
32,AL,Greene County,-1.49
33,AL,Hale County,1.98
34,AL,Henry County,1.30
35,AL,Houston County,0.38
36,AL,Jackson County,1.03
37,AL,Jefferson County,-0.33
38,AL,Lamar County,-0.33
39,AL,Lauderdale County,0.98
40,AL,Lawrence County,0.95
41,AL,Lee County,1.39
42,AL,Limestone County,3.41
43,AL,Lowndes County,-0.67
44,AL,Macon County,-0.87
45,AL,Madison County,2.23
46,AL,Marengo County,-0.57
47,AL,Marion County,0.21
48,AL,Marshall County,1.34
49,AL,Mobile County,0.06
50,AL,Monroe County,-0.94
51,AL,Montgomery County,-0.58
52,AL,Morgan County,0.73
53,AL,Perry County,-2.10
54,AL,Pickens County,-0.33
55,AL,Pike County,0.39
56,AL,Randolph County,1.45
57,AL,Russell County,0.26
58,AL,St. Clair County,1.78
59,AL,Shelby County,1.29
60,AL,Sumter County,-1.36
61,AL,Talladega County,0.48
62,AL,Tallapoosa County,-0.58
63,AL,Tuscaloosa County,0.29
64,AL,Walker County,0.45
65,AL,Washington County,-0.48
66,AL,Wilcox County,-1.92
67,AL,Winston County,-0.55
68,AK,Aleutians East Borough,0.90
69,AK,Aleutians West Census Area,1.38
70,AK,Anchorage Municipality,-0.32
71,AK,Bethel Census Area,-0.19
72,AK,Bristol Bay Borough,-2.99
73,AK,Chugach Census Area,-1.88
74,AK,Copper River Census Area,2.49
75,AK,Denali Borough,0.57
76,AK,Dillingham Census Area,-2.48
77,AK,Fairbanks North Star Borough,-0.38
78,AK,Haines Borough,0.00
79,AK,Hoonah-Angoon Census Area,-0.75
80,AK,Juneau City and Borough,-0.58
81,AK,Kenai Peninsula Borough,1.01
82,AK,Ketchikan Gateway Borough,-0.25
83,AK,Kodiak Island Borough,-0.59
84,AK,Kusilvak Census Area,-2.59
85,AK,Lake and Peninsula Borough,-3.34
86,AK,Matanuska-Susitna Borough,1.56
87,AK,Nome Census Area,-0.29
88,AK,North Slope Borough,-1.92
89,AK,Northwest Arctic Borough,-1.23
90,AK,Petersburg Borough,1.69
91,AK,Prince of Wales-Hyder Census Area,0.81
92,AK,Sitka City and Borough,-0.85
93,AK,Skagway Municipality,0.27
94,AK,Southeast Fairbanks Census Area,0.87
95,AK,Wrangell City and Borough,-0.34
96,AK,Yakutat City and Borough,0.29
97,AK,Yukon-Koyukuk Census Area,-0.77
98,AZ,Apache County,-0.76
99,AZ,Cochise County,-0.67
100,AZ,Coconino County,0.17
101,AZ,Gila County,0.15
102,AZ,Graham County,1.81
103,AZ,Greenlee County,0.45
104,AZ,La Paz County,1.06
105,AZ,Maricopa County,0.66
106,AZ,Mohave County,1.26
107,AZ,Navajo County,0.34
108,AZ,Pima County,0.54
109,AZ,Pinal County,4.13
110,AZ,Santa Cruz County,0.98
111,AZ,Yavapai County,1.16
112,AZ,Yuma County,2.08
113,AR,Arkansas County,-1.16
114,AR,Ashley County,-0.47
115,AR,Baxter County,0.92
116,AR,Benton County,2.70
117,AR,Boone County,0.65
118,AR,Bradley County,-0.63
119,AR,Calhoun County,-0.98
120,AR,Carroll County,0.34
121,AR,Chicot County,-3.01
122,AR,Clark County,-0.01
123,AR,Clay County,-0.49
124,AR,Cleburne County,0.76
125,AR,Cleveland County,-1.19
126,AR,Columbia County,-0.61
127,AR,Conway County,0.27
128,AR,Craighead County,1.00
129,AR,Crawford County,1.39
130,AR,Crittenden County,0.19
131,AR,Cross County,-1.02
132,AR,Dallas County,-0.18
133,AR,Desha County,-2.59
134,AR,Drew County,0.20
135,AR,Faulkner County,1.87
136,AR,Franklin County,1.15
137,AR,Fulton County,0.53
138,AR,Garland County,-0.20
139,AR,Grant County,1.40
140,AR,Greene County,0.72
141,AR,Hempstead County,-0.71
142,AR,Hot Spring County,0.33
143,AR,Howard County,-0.71
144,AR,Independence County,0.17
145,AR,Izard County,1.00
146,AR,Jackson County,0.78
147,AR,Jefferson County,-0.99
148,AR,Johnson County,0.61
149,AR,Lafayette County,-0.55
150,AR,Lawrence County,0.77
151,AR,Lee County,-1.98
152,AR,Lincoln County,-0.09
153,AR,Little River County,-0.51
154,AR,Logan County,0.67
155,AR,Lonoke County,0.99
156,AR,Madison County,1.79
157,AR,Marion County,1.30
158,AR,Miller County,-0.45
159,AR,Mississippi County,-0.51
160,AR,Monroe County,-0.85
161,AR,Montgomery County,0.90
162,AR,Nevada County,-0.72
163,AR,Newton County,-0.42
164,AR,Ouachita County,-0.91
165,AR,Perry County,1.10
166,AR,Phillips County,-2.53
167,AR,Pike County,0.48
168,AR,Poinsett County,-0.25
169,AR,Polk County,0.53
170,AR,Pope County,0.84
171,AR,Prairie County,-0.51
172,AR,Pulaski County,0.16
173,AR,Randolph County,0.29
174,AR,St. Francis County,-1.34
175,AR,Saline County,1.69
176,AR,Scott County,0.56
177,AR,Searcy County,-1.26
178,AR,Sebastian County,-0.01
179,AR,Sevier County,-0.67
180,AR,Sharp County,0.74
181,AR,Stone County,0.68
182,AR,Union County,-1.10
183,AR,Van Buren County,0.24
184,AR,Washington County,1.90
185,AR,White County,1.08
186,AR,Woodruff County,-1.54
187,AR,Yell County,-0.23
188,CA,Alameda County,-0.37
189,CA,Alpine County,-4.12
190,CA,Amador County,0.77
191,CA,Butte County,-0.09
192,CA,Calaveras County,0.02
193,CA,Colusa County,0.58
194,CA,Contra Costa County,-0.17
195,CA,Del Norte County,-1.93
196,CA,El Dorado County,-0.30
197,CA,Fresno County,0.18
198,CA,Glenn County,-0.81
199,CA,Humboldt County,-0.71
200,CA,Imperial County,0.07
201,CA,Inyo County,-1.15
202,CA,Kern County,-0.32
203,CA,Kings County,-0.20
204,CA,Lake County,-0.43
205,CA,Lassen County,-3.86
206,CA,Los Angeles County,-0.58
207,CA,Madera County,1.58
208,CA,Marin County,-0.68
209,CA,Mariposa County,-0.79
210,CA,Mendocino County,-1.00
211,CA,Merced County,0.59
212,CA,Modoc County,-1.38
213,CA,Mono County,0.49
214,CA,Monterey County,-0.50
215,CA,Napa County,-0.86
216,CA,Nevada County,-0.36
217,CA,Orange County,-0.46
218,CA,Placer County,1.31
219,CA,Plumas County,-1.60
220,CA,Riverside County,0.74
221,CA,Sacramento County,-0.01
222,CA,San Benito County,0.79
223,CA,San Bernardino County,0.03
224,CA,San Diego County,-0.22
225,CA,San Francisco County,0.15
226,CA,San Joaquin County,0.84
227,CA,San Luis Obispo County,-0.14
228,CA,San Mateo County,-0.35
229,CA,Santa Barbara County,-0.60
230,CA,Santa Clara County,-0.04
231,CA,Santa Cruz County,-1.02
232,CA,Shasta County,-0.32
233,CA,Sierra County,-0.68
234,CA,Siskiyou County,-2.01
235,CA,Solano County,0.07
236,CA,Sonoma County,-0.18
237,CA,Stanislaus County,0.04
238,CA,Sutter County,-0.63
239,CA,Tehama County,-0.62
240,CA,Trinity County,-0.68
241,CA,Tulare County,0.33
242,CA,Tuolumne County,-0.70
243,CA,Ventura County,-0.39
244,CA,Yolo County,-0.66
245,CA,Yuba County,1.62
246,CO,Adams County,1.11
247,CO,Alamosa County,0.41
248,CO,Arapahoe County,-0.03
249,CO,Archuleta County,1.43
250,CO,Baca County,-2.65
251,CO,Bent County,4.45
252,CO,Boulder County,-0.16
253,CO,Broomfield County,0.87
254,CO,Chaffee County,1.74
255,CO,Cheyenne County,-0.23
256,CO,Clear Creek County,-2.35
257,CO,Conejos County,-0.87
258,CO,Costilla County,0.36
259,CO,Crowley County,0.16
260,CO,Custer County,3.69
261,CO,Delta County,0.59
262,CO,Denver County,0.44
263,CO,Dolores County,2.15
264,CO,Douglas County,2.12
265,CO,Eagle County,-1.52
266,CO,Elbert County,3.46
267,CO,El Paso County,0.49
268,CO,Fremont County,1.41
269,CO,Garfield County,0.72
270,CO,Gilpin County,0.68
271,CO,Grand County,1.28
272,CO,Gunnison County,0.01
273,CO,Hinsdale County,-0.78
274,CO,Huerfano County,-0.59
275,CO,Jackson County,-0.38
276,CO,Jefferson County,0.10
277,CO,Kiowa County,-3.49
278,CO,Kit Carson County,0.16
279,CO,Lake County,0.26
280,CO,La Plata County,-0.26
281,CO,Larimer County,0.87
282,CO,Las Animas County,0.26
283,CO,Lincoln County,-0.54
284,CO,Logan County,-0.83
285,CO,Mesa County,0.73
286,CO,Mineral County,1.40
287,CO,Moffat County,0.92
288,CO,Montezuma County,0.24
289,CO,Montrose County,0.80
290,CO,Morgan County,0.88
291,CO,Otero County,-0.96
292,CO,Ouray County,1.43
293,CO,Park County,1.09
294,CO,Phillips County,0.63
295,CO,Pitkin County,-1.23
296,CO,Prowers County,-1.03
297,CO,Pueblo County,-0.03
298,CO,Rio Blanco County,0.31
299,CO,Rio Grande County,-1.31
300,CO,Routt County,-0.03
301,CO,Saguache County,0.92
302,CO,San Juan County,-0.50
303,CO,San Miguel County,-1.75
304,CO,Sedgwick County,0.57
305,CO,Summit County,-0.56
306,CO,Teller County,-0.98
307,CO,Washington County,0.17
308,CO,Weld County,2.62
309,CO,Yuma County,-0.33
310,CT,Capitol Planning Region,0.34
311,CT,Greater Bridgeport Planning Region,0.16
312,CT,Lower Connecticut River Valley Planning Region,0.13
313,CT,Naugatuck Valley Planning Region,0.56
314,CT,Northeastern Connecticut Planning Region,0.57
315,CT,Northwest Hills Planning Region,0.16
316,CT,South Central Connecticut Planning Region,-0.04
317,CT,Southeastern Connecticut Planning Region,0.14
318,CT,Western Connecticut Planning Region,0.17
319,DE,Kent County,1.08
320,DE,New Castle County,0.58
321,DE,Sussex County,2.75
322,DC,District of Columbia,1.20
323,FL,Alachua County,0.69
324,FL,Baker County,2.09
325,FL,Bay County,3.00
326,FL,Bradford County,2.06
327,FL,Brevard County,2.10
328,FL,Broward County,0.80
329,FL,Calhoun County,0.04
330,FL,Charlotte County,1.75
331,FL,Citrus County,2.58
332,FL,Clay County,2.56
333,FL,Collier County,1.71
334,FL,Columbia County,1.66
335,FL,DeSoto County,1.87
336,FL,Dixie County,2.02
337,FL,Duval County,1.36
338,FL,Escambia County,0.95
339,FL,Flagler County,3.69
340,FL,Franklin County,0.82
341,FL,Gadsden County,1.01
342,FL,Gilchrist County,3.08
343,FL,Glades County,2.59
344,FL,Gulf County,2.58
345,FL,Hamilton County,2.10
346,FL,Hardee County,0.42
347,FL,Hendry County,4.69
348,FL,Hernando County,2.84
349,FL,Highlands County,1.86
350,FL,Hillsborough County,1.46
351,FL,Holmes County,1.48
352,FL,Indian River County,1.51
353,FL,Jackson County,0.76
354,FL,Jefferson County,2.53
355,FL,Lafayette County,3.87
356,FL,Lake County,3.50
357,FL,Lee County,1.48
358,FL,Leon County,-0.12
359,FL,Levy County,2.86
360,FL,Liberty County,1.22
361,FL,Madison County,1.59
362,FL,Manatee County,2.78
363,FL,Marion County,3.41
364,FL,Martin County,0.82
365,FL,Miami-Dade County,0.52
366,FL,Monroe County,-1.23
367,FL,Nassau County,3.76
368,FL,Okaloosa County,0.92
369,FL,Okeechobee County,2.61
370,FL,Orange County,1.35
371,FL,Osceola County,3.61
372,FL,Palm Beach County,0.92
373,FL,Pasco County,3.92
374,FL,Pinellas County,-0.02
375,FL,Polk County,3.80
376,FL,Putnam County,1.63
377,FL,St. Johns County,4.25
378,FL,St. Lucie County,4.10
379,FL,Santa Rosa County,2.50
380,FL,Sarasota County,1.40
381,FL,Seminole County,1.18
382,FL,Sumter County,4.70
383,FL,Suwannee County,1.60
384,FL,Taylor County,1.26
385,FL,Union County,0.12
386,FL,Volusia County,1.84
387,FL,Wakulla County,3.64
388,FL,Walton County,3.54
389,FL,Washington County,0.78
390,GA,Appling County,0.11
391,GA,Atkinson County,1.63
392,GA,Bacon County,-0.44
393,GA,Baker County,-1.76
394,GA,Baldwin County,-0.54
395,GA,Banks County,2.31
396,GA,Barrow County,3.97
397,GA,Bartow County,1.97
398,GA,Ben Hill County,0.42
399,GA,Berrien County,1.95
400,GA,Bibb County,0.25
401,GA,Bleckley County,1.51
402,GA,Brantley County,1.05
403,GA,Brooks County,-0.24
404,GA,Bryan County,3.15
405,GA,Bulloch County,1.55
406,GA,Burke County,0.02
407,GA,Butts County,0.53
408,GA,Calhoun County,-0.31
409,GA,Camden County,2.01
410,GA,Candler County,0.88
411,GA,Carroll County,2.06
412,GA,Catoosa County,0.11
413,GA,Charlton County,1.14
414,GA,Chatham County,0.87
415,GA,Chattahoochee County,-0.97
416,GA,Chattooga County,1.04
417,GA,Cherokee County,1.92
418,GA,Clarke County,0.16
419,GA,Clay County,0.00
420,GA,Clayton County,-0.03
421,GA,Clinch County,1.00
422,GA,Cobb County,0.64
423,GA,Coffee County,0.16
424,GA,Colquitt County,0.74
425,GA,Columbia County,1.66
426,GA,Cook County,1.75
427,GA,Coweta County,1.97
