table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
Geographic Area,2022,2023,pct_diff
".Autauga County, Alabama","59,726","60,342",1.03
".Baldwin County, Alabama","246,531","253,507",2.83
".Barbour County, Alabama","24,700","24,585",-0.47
".Bibb County, Alabama","21,986","21,868",-0.54
".Blount County, Alabama","59,516","59,816",0.50
".Bullock County, Alabama","10,143","9,897",-2.43
".Butler County, Alabama","18,668","18,382",-1.53
".Calhoun County, Alabama","115,780","116,429",0.56
".Chambers County, Alabama","34,164","34,079",-0.25
".Cherokee County, Alabama","25,353","25,666",1.23
".Chilton County, Alabama","45,848","46,431",1.27
".Choctaw County, Alabama","12,431","12,252",-1.44
".Clarke County, Alabama","22,574","22,337",-1.05
".Clay County, Alabama","14,183","14,111",-0.51
".Cleburne County, Alabama","15,372","15,639",1.74
".Coffee County, Alabama","54,840","55,643",1.46
".Colbert County, Alabama","57,993","58,361",0.63
".Conecuh County, Alabama","11,224","11,174",-0.45
".Coosa County, Alabama","10,307","10,268",-0.38
".Covington County, Alabama","37,603","37,952",0.93
".Crenshaw County, Alabama","13,048","13,101",0.41
".Cullman County, Alabama","90,663","92,016",1.49
".Dale County, Alabama","49,495","49,871",0.76
".Dallas County, Alabama","36,729","36,165",-1.54
".DeKalb County, Alabama","72,082","72,569",0.68
".Elmore County, Alabama","89,600","90,441",0.94
".Escambia County, Alabama","36,636","36,558",-0.21
".Etowah County, Alabama","102,903","103,241",0.33
".Fayette County, Alabama","16,082","15,967",-0.72
".Franklin County, Alabama","31,910","31,802",-0.34
".Geneva County, Alabama","26,760","26,988",0.85
".Greene County, Alabama","7,452","7,341",-1.49
".Hale County, Alabama","14,599","14,888",1.98
".Henry County, Alabama","17,670","17,899",1.30
".Houston County, Alabama","108,047","108,462",0.38
".Jackson County, Alabama","52,923","53,467",1.03
".Jefferson County, Alabama","665,084","662,895",-0.33
".Lamar County, Alabama","13,706","13,661",-0.33
".Lauderdale County, Alabama","95,875","96,814",0.98
".Lawrence County, Alabama","33,187","33,502",0.95
".Lee County, Alabama","180,698","183,215",1.39
".Limestone County, Alabama","110,868","114,654",3.41
".Lowndes County, Alabama","9,783","9,717",-0.67
".Macon County, Alabama","18,532","18,370",-0.87
".Madison County, Alabama","403,605","412,600",2.23
".Marengo County, Alabama","18,791","18,684",-0.57
".Marion County, Alabama","29,182","29,244",0.21
".Marshall County, Alabama","99,428","100,756",1.34
".Mobile County, Alabama","411,398","411,640",0.06
".Monroe County, Alabama","19,412","19,229",-0.94
".Montgomery County, Alabama","226,301","224,980",-0.58
".Morgan County, Alabama","124,231","125,133",0.73
".Perry County, Alabama","7,904","7,738",-2.10
".Pickens County, Alabama","18,749","18,688",-0.33
".Pike County, Alabama","33,008","33,137",0.39
".Randolph County, Alabama","22,460","22,786",1.45
".Russell County, Alabama","58,594","58,744",0.26
".St. Clair County, Alabama","93,881","95,552",1.78
".Shelby County, Alabama","230,033","233,000",1.29
".Sumter County, Alabama","11,889","11,727",-1.36
".Talladega County, Alabama","80,748","81,132",0.48
".Tallapoosa County, Alabama","40,913","40,677",-0.58
".Tuscaloosa County, Alabama","236,690","237,373",0.29
".Walker County, Alabama","64,438","64,728",0.45
".Washington County, Alabama","15,094","15,022",-0.48
".Wilcox County, Alabama","10,139","9,944",-1.92
".Winston County, Alabama","23,741","23,611",-0.55
".Aleutians East Borough, Alaska","3,430","3,461",0.90
".Aleutians West Census Area, Alaska","5,090","5,160",1.38
".Anchorage Municipality, Alaska","286,983","286,075",-0.32
".Bethel Census Area, Alaska","18,259","18,224",-0.19
".Bristol Bay Borough, Alaska",870,844,-2.99
".Chugach Census Area, Alaska","6,899","6,769",-1.88
".Copper River Census Area, Alaska","2,609","2,674",2.49
".Denali Borough, Alaska","1,575","1,584",0.57
".Dillingham Census Area, Alaska","4,724","4,607",-2.48
".Fairbanks North Star Borough, Alaska","95,202","94,840",-0.38
".Haines Borough, Alaska","2,070","2,070",0.00
".Hoonah-Angoon Census Area, Alaska","2,279","2,262",-0.75
".Juneau City and Borough, Alaska","31,740","31,555",-0.58
".Kenai Peninsula Borough, Alaska","60,611","61,223",1.01
".Ketchikan Gateway Borough, Alaska","13,772","13,738",-0.25
".Kodiak Island Borough, Alaska","12,639","12,565",-0.59
".Kusilvak Census Area, Alaska","8,214","8,001",-2.59
".Lake and Peninsula Borough, Alaska","1,377","1,331",-3.34
".Matanuska-Susitna Borough, Alaska","113,472","115,239",1.56
".Nome Census Area, Alaska","9,791","9,763",-0.29
".North Slope Borough, Alaska","10,811","10,603",-1.92
".Northwest Arctic Borough, Alaska","7,453","7,361",-1.23
".Petersburg Borough, Alaska","3,370","3,427",1.69
".Prince of Wales-Hyder Census Area, Alaska","5,650","5,696",0.81
".Sitka City and Borough, Alaska","8,353","8,282",-0.85
".Skagway Municipality, Alaska","1,092","1,095",0.27
".Southeast Fairbanks Census Area, Alaska","7,016","7,077",0.87
".Wrangell City and Borough, Alaska","2,071","2,064",-0.34
".Yakutat City and Borough, Alaska",685,687,0.29
